date | value
2011-01-039 | 3
2011-01-03 | 2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42 | 1
2012-01-11 | 2147483648
2009-01-02 | 1
2009-01-01 | 1
2013-12-22 | 100
2010-08-20 | 10
2011-05-14 | 1000
2011-05-14 | 1000.1
2011-05-14 | 0
2011-05-14 | 0.5
2012-03-15 | 42.5
2013-06-15 | 250.75
2011-02-29 | 5
2012-02-29 | 5
2012-02-30 | 5
2011-13-01 | 5
2011-00-01 | 5
2011-01-00 | 5
2011-01-32 | 5
2012-04-31 | 5
2011-02-14 | abc
2011-02-14
2011-02-14 | 
 2011-02-14 | 5
2011-02-14  |  10
2011-02-14|15
2011|02|14 | 5
not-a-date | 5
2011-2-14 | 5
2011-02-1 | 5
2020-12-31 | 999.99
1999-01-01 | 100
